Title*,Description*,Price*,Quantity*,SKU,Tags (comma separated),Materials (comma separated),Who Made*,When Made*,Taxonomy ID*,Image URLs (comma separated),Status,Result
Handmade Blue Ceramic Coffee Mug,Beautiful handcrafted ceramic mug with a stunning blue glaze. Perfect for your morning coffee or evening tea. Dishwasher and microwave safe. Holds 12oz of your favorite beverage.,24.99,15,MUG-BLUE-001,"ceramic, handmade, mug, coffee, blue, kitchen, dishwasher safe","ceramic, glaze",i_did,2020_2024,1633,https://picsum.photos/800/600?random=1,✓ Updated,ID: 4337896762
Rustic Wood Cutting Board - Walnut,Handcrafted walnut cutting board perfect for your kitchen. Each board is unique with natural wood grain patterns. Treated with food-safe mineral oil. Makes a great wedding gift!,45,8,BOARD-WAL-002,"cutting board, wood, walnut, kitchen, handmade, rustic, wedding gift","walnut, mineral oil",collective,made_to_order,1625,https://picsum.photos/800/600?random=2,✓ Updated,ID: 4337897913
Cozy Hand Knit Winter Scarf - Burgundy,Soft and warm hand-knitted scarf in beautiful burgundy color. Made from premium merino wool. Perfect for cold winter days. Measures 70 inches long by 8 inches wide.,38.5,12,SCARF-BURG-003,"scarf, knitted, winter, burgundy, merino wool, handmade, cozy, warm",merino wool,i_did,2020_2024,166,https://picsum.photos/800/600?random=3,✓ Updated,ID: 4337897939
Vintage Sterling Silver Locket Necklace,"Beautiful vintage sterling silver locket from the 1960s. Features intricate floral engravings. Chain length 18 inches. Perfect condition, professionally cleaned and polished.",125,3,LOCKET-VINT-004,"vintage, locket, sterling silver, necklace, jewelry, 1960s, antique",sterling silver,someone_else,before_2005,1875,https://picsum.photos/800/600?random=4,✓ Updated,ID: 4337896814
Modern Abstract Wall Art Print - Instant Download,"Instant download digital art print. Modern abstract design perfect for home or office decor. High resolution 300 DPI. Includes 5 sizes: 8x10, 11x14, 16x20, 18x24, 24x30 inches.",12.99,999,PRINT-ABST-005,"digital print, wall art, abstract, instant download, printable, modern art",digital file,i_did,2020_2024,2079,https://picsum.photos/800/600?random=5,✓ Updated,ID: 4337896832
Lavender Goat Milk Soap - Natural & Organic,Luxurious handmade soap with lavender essential oil and goat milk. Gentle on sensitive skin. Each bar is approximately 4oz. Wrapped in eco-friendly packaging.,8.99,25,SOAP-LAV-006,"soap, handmade, lavender, goat milk, natural, organic, bath, skincare","goat milk, lavender oil, coconut oil, shea butter",i_did,2020_2024,316,https://picsum.photos/800/600?random=6,✓ Updated,ID: 4337897985
Personalized Leather Bifold Wallet,"Handcrafted genuine leather bifold wallet. Can be personalized with initials. Features 6 card slots, 2 bill compartments. Available in brown or black. Makes a perfect gift!",55,20,WALLET-LEATH-007,"wallet, leather, personalized, mens wallet, bifold, gift for him","genuine leather, brass hardware",i_did,made_to_order,1811,https://picsum.photos/800/600?random=7,✓ Updated,ID: 4337897999
Minimalist Concrete Planter with Drainage,Modern concrete planter perfect for succulents or small plants. Features drainage hole and cork pad. Hand-poured and sealed. Available in 4 inch diameter.,999,33,PLANTER-CONC-008,"planter, concrete, succulent, minimalist, modern, home decor, plants","concrete, cork",i_did,2020_2024,1633,https://picsum.photos/800/600?random=8,✓ Updated,ID: 4337898021
Rare First Edition Poetry Book 1952,First edition poetry collection from 1952. Good vintage condition with some wear to dust jacket. All pages intact. A wonderful addition to any book collection.,75,1,BOOK-POET-009,"vintage book, poetry, first edition, 1952, collectible, rare book","paper, cloth binding",someone_else,before_2005,161,https://picsum.photos/800/600?random=9,✓ Updated,ID: 4337898035
Soy Candle Gift Set - Spring Collection,"Set of 3 hand-poured soy candles in spring scents: Cherry Blossom, Fresh Linen, and Garden Mint. Each candle burns for 20+ hours. Comes in beautiful gift box.",42,18,CANDLE-SET-010,"candles, soy candle, gift set, spring, aromatherapy, home fragrance","soy wax, cotton wick, essential oils",i_did,2020_2024,337,https://picsum.photos/800/600?random=10,✓ Updated,ID: 4337896912
